codigo,descripcion,CodigoBarras
249,DEMONIO DE LOS ANDES ITALIA 700ML - TACAMA,7750359000659
250,BLANCO DE BLANCOS SAUVIGNON BLANC 750 ML TACAMA,7750359000642
2500,PISCO ACHOLADO 500 ML - TRES GENERACIONES,7750674000037
2501,PISCO ALBILLA 500 ML - TRES GENERACIONES,7750674000082
2502,PISCO ITALIA 500 ML - TRES GENERACIONES,7750674000075
2503,PISCO MOLLAR 500 ML - TRES GENERACIONES,7750674000136
2504,PISCO MOSTO VERDE QUEBRANTA 500 ML - TRES GENERACIONES,7750674000020
2505,PISCO MOSTO VERDE TORONTEL 500 ML - TRES GENERACIONES,7750674000143
2506,PISCO QUEBRANTA 500 ML - TRES GENERACIONES,7750674000044
2507,PISCO TORONTEL 500 ML - TRES GENERACIONES,7750674000129
2518,PISCO MOSTO VERDE ACHOLADO 500 ML - TRES GENERACIONES,7750674000235
2521,CREMA DE PISCO CON LUCUMA 500ML TRES GENERACIONES,7750674000259
2522,CREMA DE PISCO CON CHIRIMOYA 500ML - TRES GENERACIONES,7750674000273
253,DEMONIO DE LOS ANDES 2 LITROS - TACAMA,7750359000789
254,DOÑA ANA SAUVIGNON BLANC 750 ML TACAMA,7750359000802
257,VINO O 750 ML TACAMA,7750359000840
258,VINO AMBROSIA - ROSE SECO 750ML TACAMA,7750359000833
26001,GIN NORDES 700ML,8435449500002
26002,GIN NORDES 50 ML,8435449500026
2700,PROSECCO ZONIN 750 ML.,8002235004091
2701,ASTI ZONIN 750 ML.,8002235795258
2702,PROSECCO ZONIN MAGNUM 1500 ML.,8002235005449
2703,PROSECCO ZONIN 200 ML.,8002235835527
2704,ZONIN VENTITERRE SOAVE 750 ML.,8002235662055
2705,ZONIN VENTITERRE PINOT GRIGIO 750 ML.,8002235020312
2706,ZONIN VENTITERRE CHIANTI 750 ML.,8002235022323
2708,ZONIN PROSECCO ROSE 750 ML.,8002235039918
2709,CHIANTI CLASSICO CASTELLO 750ML,8002235007337
2713,MASSERIA ALTEMURA SASSEO (100% PRIMITIVO) IGT  750 ML ZONIN,8002235001014
2714,MASSERIA ALTEMURA PRIMITIVO DI MANDURIA 750 ML ZONIN,8002235003223
2719,ZONIN VENTITERRE MERLOT 750 ML.,8002235473552
2721,ZONIN VENTITERRE CABERNET 750 ML.,8002235395953
2722,ZONIN VENTITERRE MERLOT NERO D´AVOLA 750 ML.,8002235024358
2723,ZONIN VENTITERRE VALPOLICELLA 750 ML.,8002235692052
2724,ZONIN VENTITERRE PRIMITIVO SALENTO 750 ML.,8002235016117
2725,ZONIN VENTITERRE CHARDONNAY 750 ML.,8002235022811
2726,ZONIN VENTITERRE MOSCATO 750 ML.,8002235003353
28001,ALBARIÑO PAZO SEÑORANS 750 ML.,8437003160004
28002,ALBARIÑO PAZO SEÑORANS MAGNUM 1500 ML,8437003160141
28003,ALBARIÑO PAZO SEÑORIANS 500 ML.,8437003160127
28004,ALBARIÑO SELECCION AÑADA PAZO SEÑORANS 750 ML,8437003160042
2900,POEMA BRUT 750 ML.,8426998263753
2901,POEMA BRUT ROSE 750 ML.,8426998272755
2903,TRESOR RESERVA BRUT 200ML - PERE VENTURA,8426998200208
3100,GLORIOSO CRIANZA 750 ML.,8410351123006
31000,ESTRELLA DAMM 330 ML. BOTELLA,8410793282934
31001,INEDIT DAMM 330 ML.,8410793331939
31003,SIX PACK ESTRELLA DAMM BOTELLA 330 ML,8410793283832
31005,ESTRELLA DAMM 330 ML. LATA,8410793286130
31006,SIX PACK DAURA DAMM 330 ML,8410793263834
31008,SIX PACK FREE DAMM 250 ML,8410793063847
31009,DAURA DAMM 330 ML,8410793262936
3101,GLORIOSO RESERVA 750ML.,8410351133005
31010,SIX PACK ESTRELLA DAMM LATA 330 ML,7755879000141
31011,SIX PACK INEDIT DAMM 330ML,8410793333834
31012,VOLL DAMM DOBLE MALTA 330 ML.,8410793032935
31013,SIX PACK VOLL DAMM DOBLE MALTA 330 ML,8410793033833
31014,INEDIT DAMM FOUR PACK 330ML,8410793332837
31015,DAMM LIMON CLARA MEDITERRANEA 250 ML.,8410793151940
31016,SIX PACK ESTRELLA DAMM LEMON 250ML,8410793153845
31017,ESTRELLA DAMM BOTELLA 250ML,8410793021946
31018,SIX PACK ESTRELLA DAMM 250ML,8410793021649
31019,VOLL DAMM DOBLE MALTA 250 ML.,8410793031945
3102,GLORIOSO GRAN RESERVA 750 ML.,8410351143004
31020,ESTRELLA DAMM 500 ML. LATA,8410793286123
31021,VICTORIA MALAGA 330 ML.,8410793221933
31025,FREE DAMM 330 ML. LATA,8410793066138
320,AMAYNA PINOT NOIR 750ML.,7804605830245
3203,GLENFARCLAS MALT WHISKY 40 AÑOS,5018066094067
321,AMAYNA SAUVIGNON BLANC 750ML.,7804605830269
322,AMAYNA CHARDONNAY 750ML.,7804605830252
323,BOYA PINOT NOIR 750 ML.,7804605830306
324,BOYA SAUVIGNON BLANC 750 ML.,7804605830290
325,BOYA ROSE 750 ML.,7804605830337
326,BOYA CABERNET FRANC 750 ML.,7804605830351
3301,WILLIAMS CHASE EXTRA DRY GIN 700ML,5060183131019
3700,MEZCAL JOVEN LOS DANZANTES 750 ML,7503002311462
3701,MEZCAL REPOSADO LOS DANZANTES 750 ML.,7503002311479
3702,MEZCAL ALIPUS SAN LUIS 750 ML.,7503002311486
3800,CLOS DE LOS SIETE,7798104410414
38002,SCHOFFERHOFER SIN FILTRAR 500 ML,4053400001838
38003,SCHÖFFERHOFER TORONJA BOTELLA 330 ML.,4053400278957
38004,SCHÖFFERHOFER SIN FILTRAR BOTELLA 330 ML.,42572062000
38006,SIX PACK SCHOFFERHOFER TORONJA 330 ML,4053400078953
38007,SIX PACK SCHOFFERHOFER SIN FILTRAR 330 ML,4053400073040
38008, SCHÖFFERHOFER SIN FILTRAR LATA 500 ML.,4053400277691
38011,CERVEZA CLAUSTHALER LEMON SIN ALCOHOL 330ML,4053400268545
38012,CERVEZA CLAUSTHALER ORIGINAL SIN ALCOHOL  330ML,4053400279589
38013,CERVEZA CLAUSTHALER GRAPEFRUIT SIN ALCOHOL 330ML,042572058010
38014,DAB EXPORT ORIGINAL VIDRIO 330ML,4001982283487
38015,DAB EXPORT ORIGINAL LATA 330ML,4001982097923
38016,DAB EXPORT ORIGINAL 500 ML LATA,4001982097763
38017,DAB DARK 500ML LATA,4053400277936
38018,DAB MAIBOCK 500 ML LATA,4053400277707
38019,DAB RADLER 500 ML LATA,4053400204406
3900,BROCKMANS PREMIUM GIN 1 LITRO.,5033931603694
3903,BROCKMANS PREMIUM GIN 700 ML.,5010296169164
4001,RON PLANTATION ORIGINAL DARK 750ML,695521151456
4002,PLANTATION GRAN RESERVA 750ML.,695521151135
4003,PLANTATION 20 ANNIVERSARY XO (BARBADOS) 750 ML.,695521151203
4004,CITADELLE GIN 750 ML.,695521103011
4005,GIN CITADELLE 50 ML.,695521103004
4009,PLANTATION TRINIDAD 700 ML.,3460410531124
4010,PLANTATION BARBADOS 700 ML.,695521126607
4011,PLANTATION JAMAICA 700 ML.,3460410530233
4012,PLANTATION PANAMA 700 ML.,3460410529893
4014,PLANTATION NICARAGUA 700 ML.,3460410530370
4016,PLANTATION 3 STARS 700 ML.,695521151661
4017,PLANTATION 3 STARS 50 ML.,695521151630
4019,PLANTATION OFTD OVERPROOF 69% 1 LITRO.,695521152187
4022,VODKA ORGANICO ARTESANAL FROGGY B PIERRE FERRAND,695521150022
4023,DRY CURACAO 750 ML PIERRE,695521151449
4030,CITADELLE GIN JARDIN D’ETE 750 ML.,695521152989
4037,MAGNIFIQUE VODKA 750ML,3460410531230
4039,PLANTERAY ORIGINAL DARK 1 LITRO.,695521154822
4040,GIFT PACK GIN CITADELLE 750 ML + COPA,695521152682
4041,GIFT PACK RON PLANTERAY 20 ANNIVERSARY XO + 2 COPAS,695521151371
4200,RAYMOND R COLLECTION CHARDONNAY 750ML,087712201321
4202,RAYMOND R COLLECTION CABERNET SAUVIGNON 750ML,087447649320
4300,CHATEAU HAUT PEYRUGUET BORDEAUX MERLOT/CAB. SAUV  750 ML,873964000122
4301,CHATEAU HAUT PEYRUGUET SAUVIGNON SEMILLON 750ML,873964000115
4400,MIROS DE RIBERA TEMPRANILLO 750ML,8437003818028
4401,BARON DE FILAR JOVEN 750 ML.,8437003818318
4402,SILENCIO DE MIROS 750ML CON ESTUCHE DE MADERA,8437003818745
4403,BARON DE FILAR RESERVA 750 ML.,8437003818530
4404,MIROS DE RIBERA ROBLE,8437003818950
4405,MIROS DE RIBERA CRIANZA,8437003818707
4406,BARON DE FILAR RUEDA VERDEJO 750 ML.,8437003818516
4407,BARON DE FILAR ROBLE 750 ML.,8437003818301
4409,MIROS DE RIBERA RESERVA,8437003818967
4411,LA CASA DE LAS LOCAS GODELLO,8437003818271
4412,LA CASA DE LAS LOCAS ALBARIÑO D.O. RIAS BAIXAS,8437003818288
4413,LA CASA DE LAS LOCAS RIBEIRO,8437003818264
4500,GIN DAFFYS 700ML,96116630
4600,A D’AUSSIÈRES ROTHSCHILD LAFITE 750 ML.,3662386812119
4601,BLASON D’AUSSIÈRES ROTHSCHILD LAFITE 750 ML.,3760131259018
4602,CHÂTEAU D’AUSSIÈRES ROTHSCHILD LAFITE 750 ML.,3760131251913
4700,PUJANZA HADO 750 ML.,8437002774349
4701,PUJANZA VALDEPOLEO 750 ML.,8437002774370
4800,VI-VE MACERACION CARBONICA 750ML - VALDELANA,8437001139781
4802,FAMILIA VALDELANA CRIANZA 750ML,8437001139019
4803,FAMILIA VALDELANA RESERVA 750ML,8437001139026
4902,LA VAL ALBARIÑO FERMENTADO EN BARRICA 750ML,8423253302202
500,MUGA RESERVA 750 ML.,8414542100104
5000,MESONEROS DE CASTILLA TINTO 750ML,8437006255011
5001,MESONEROS DE CASTILLA TINTO ROBLE 750ML,8437006255028
5002,VALSOTILLO FINCA BUENAVISTA TINTO 750 ML,8437006255141
5003,VALSOTILLO CRIANZA 750 ML,8437006255035
5004,VALSOTILLO RESERVA 750 ML.,8437006255059
502,MUGA RESERVA 375ML - MUGA,8414542110103
503,MUGA PRADO ENEA GRAN RESERVA 750 ML.,8414542020051
504,MUGA BLANCO 750 ML.,8414542040134
505,TORRE MUGA 750ML - MUGA,8414542125107
